date,next_date,daily_return,cumulative_value,objective,positions,cumulative_return
2025-02-07,2025-02-10,-0.06491586495856988,1.0080687301884776,-5.577300429316759,"{'HO2502-C-2550.CFE': -0.00327816952996067, 'HO2502-P-2650.CFE': 0.007796844898134597, 'HO2502-P-2700.CFE': 0.023444215426968017, 'HO2502-P-2750.CFE': 0.04131135251362022, 'HO2502-P-2800.CFE': 0.04056375671267615, 'HO2502-P-2850.CFE': 0.023630015230608207, 'HO2503-P-2600.CFE': 0.0025011297947988226, 'HO2503-P-2650.CFE': 0.0101129724149373, 'HO2503-P-2700.CFE': 0.016365585550277634, 'HO2503-P-2750.CFE': 0.013803746418403678, 'HO2503-P-2800.CFE': 0.004035242854820046, 'IO2502-C-3800.CFE': -0.0023341819963007414, 'IO2502-C-3850.CFE': -0.0018184989085354086, 'IO2502-P-3950.CFE': 0.0027499864002161595, 'IO2502-P-4000.CFE': 0.011729722665884075, 'IO2502-P-4050.CFE': 0.021550603327569588, 'IO2502-P-4100.CFE': 0.027076890701745206, 'IO2502-P-4150.CFE': 0.030630278850960806, 'IO2502-P-4200.CFE': 0.027595992919905124, 'IO2502-P-4250.CFE': 0.018445627267008, 'IO2502-P-4300.CFE': 0.007846720206629696, 'IO2503-P-4050.CFE': 0.0007261678418159648, 'MO2502-C-5800.CFE': -0.0036604642770565444, 'MO2502-C-5900.CFE': -0.014547075107950632, 'MO2502-C-6000.CFE': -0.019783533290797677, 'MO2502-C-6100.CFE': -0.01836173623109701, 'MO2502-C-6200.CFE': -0.01545561904924445, 'MO2502-C-6300.CFE': -0.008626303840924991, 'MO2503-C-6500.CFE': -0.0045225009980569796, 'MO2502-P-6400.CFE': 0.005078612610738886, 'MO2502-P-6500.CFE': 0.013655625919720304, 'MO2502-P-6600.CFE': 0.01819933301183147, 'MO2502-P-6700.CFE': 0.017955668753805082, 'MO2502-P-6800.CFE': 0.009860874342088486}",0.008068730188477646
2025-02-10,2025-02-11,0.035335343447474465,1.043689184988347,-7.1756701152820614,"{'HO2502-C-2600.CFE': -0.002606086989342097, 'HO2502-P-2650.CFE': 0.005393963043557929, 'HO2502-P-2700.CFE': 0.04193168150752681, 'HO2502-P-2750.CFE': 0.07882934744313524, 'HO2502-P-2800.CFE': 0.09422108001717498, 'HO2503-P-2600.CFE': 0.003285957668038981, 'HO2503-P-2650.CFE': 0.01900561212851311, 'HO2503-P-2700.CFE': 0.031852325811323, 'HO2503-P-2750.CFE': 0.03217359768090192, 'HO2503-P-2800.CFE': 0.01753938090791842, 'HO2504-P-2650.CFE': 0.012364712899316057, 'IO2502-P-4000.CFE': 0.010290122691602413, 'IO2502-P-4050.CFE': 0.02835150152571036, 'IO2502-P-4100.CFE': 0.03699803451973895, 'IO2502-P-4150.CFE': 0.04387882014861281, 'IO2502-P-4200.CFE': 0.038485019159160375, 'IO2502-P-4250.CFE': 0.029657801175152737, 'IO2502-P-4300.CFE': 0.007425086092495851, 'MO2502-C-6000.CFE': -0.009381970154551186, 'MO2502-C-6100.CFE': -0.015042824085069401, 'MO2502-C-6200.CFE': -0.012229129984652117, 'MO2502-C-6300.CFE': -0.011635578437868537, 'MO2502-C-6400.CFE': -0.004101416479405043, 'MO2502-P-6500.CFE': 0.002730544610037269, 'MO2502-P-6600.CFE': 0.012534933026488743, 'MO2502-P-6700.CFE': 0.015544084501590694, 'MO2502-P-6800.CFE': 0.009660940794136975}",0.04368918498834695
2025-02-11,2025-02-12,-0.1434899956485881,0.8939302283758905,-10.945789993987201,"{'HO2502-P-2650.CFE': 0.022058008530883647, 'HO2502-P-2700.CFE': 0.05783636218302011, 'HO2502-P-2750.CFE': 0.08020831521782171, 'HO2502-P-2800.CFE': 0.06832903116958615, 'HO2503-P-2600.CFE': 0.0101698168124059, 'HO2503-P-2650.CFE': 0.02488885483325871, 'HO2503-P-2700.CFE': 0.02594326805440882, 'HO2503-P-2750.CFE': 0.01332585914174718, 'IO2502-P-3950.CFE': 0.021857528509992293, 'IO2502-P-4000.CFE': 0.04223176507654153, 'IO2502-P-4050.CFE': 0.06353944513900928, 'IO2502-P-4100.CFE': 0.07002615451920903, 'IO2502-P-4150.CFE': 0.06880058210188747, 'IO2502-P-4200.CFE': 0.05492563782079078, 'IO2503-P-3900.CFE': 0.0067085294752250195, 'IO2503-P-3950.CFE': 0.011496991061056656, 'IO2503-P-4000.CFE': 0.011053070260796332, 'IO2503-P-4050.CFE': 0.008896213057630074, 'MO2502-C-6000.CFE': -0.006450786455630756, 'MO2502-C-6100.CFE': -0.01142246073910636, 'MO2502-C-6200.CFE': -0.005784963521069439, 'MO2502-C-6300.CFE': -0.0019843941612132754, 'MO2502-P-6400.CFE': 0.01185269035358305, 'MO2502-P-6500.CFE': 0.027590237519853747, 'MO2502-P-6600.CFE': 0.039221073763213286, 'MO2502-P-6700.CFE': 0.04283412039926549, 'MO2502-P-6800.CFE': 0.032684168819891724, 'MO2502-P-6900.CFE': 0.013932298090540578}",-0.10606977162410947
2025-02-12,2025-02-13,0.012175190068712122,0.9048139988145343,-1.5485642628175655,"{'HO2503-C-2800.CFE': -0.020576800425670196, 'IO2503-C-4100.CFE': -0.004911927817227936, 'IO2503-C-4150.CFE': -0.01822172380949235, 'MO2503-C-6400.CFE': -0.002252773257116469, 'MO2503-C-6500.CFE': -0.009993852863358204, 'MO2503-C-6600.CFE': -0.01776142097926571, 'MO2503-C-6700.CFE': -0.018562373059141914, 'MO2504-C-6700.CFE': -0.00064103955244013, 'MO2503-P-5700.CFE': -0.004954412405381586, 'MO2503-P-5800.CFE': -0.012510905111865728, 'MO2503-P-5900.CFE': -0.012840998490640519}",-0.09518600118546572
2025-02-13,2025-02-14,-0.003113390706297254,0.9019969593196975,-1.9305082223325456,"{'HO2503-C-2750.CFE': -0.0010248734142327136, 'HO2503-C-2800.CFE': -0.0317066091324992, 'HO2504-C-2800.CFE': -0.002377813747561504, 'IO2503-C-4100.CFE': -0.00533867667709984, 'IO2503-C-4150.CFE': -0.012573485678870436, 'MO2503-C-6400.CFE': -0.0009248107492517873, 'MO2503-C-6500.CFE': -0.011589745832922684, 'MO2503-C-6600.CFE': -0.02011155948350283, 'MO2503-C-6700.CFE': -0.007993721316644362, 'MO2503-P-5700.CFE': -0.004926215202880496, 'MO2503-P-5800.CFE': -0.013298242254343203, 'MO2503-P-5900.CFE': -0.00034343665971887195}",-0.09800304068030252
2025-02-14,2025-02-17,0.001192343957687891,0.9030724499439953,-1.7121459008637345,"{'HO2503-C-2800.CFE': -0.016406973295064704, 'HO2503-C-2850.CFE': -0.004806858147744751, 'HO2504-C-2800.CFE': -0.001794612790478289, 'HO2504-C-2850.CFE': -0.005706369089490855, 'IO2503-C-4100.CFE': -0.0019057009902113215, 'IO2503-C-4150.CFE': -0.009247259418478808, 'IO2504-C-4150.CFE': -0.0017694814797606327, 'MO2503-C-6400.CFE': -0.00467266665562852, 'MO2503-C-6500.CFE': -0.012096447144493759, 'MO2503-C-6600.CFE': -0.021412844478885276, 'MO2503-C-6700.CFE': -0.011667510419726827, 'MO2503-P-5700.CFE': -0.0036350426241044537, 'MO2503-P-5800.CFE': -0.01116141540908131, 'MO2503-P-5900.CFE': -0.005432238807852709}",-0.09692755005600473
2025-02-17,2025-02-18,0.020266409794002623,0.9213744862882342,-1.6941856234074273,"{'HO2503-C-2800.CFE': -0.01574564612396353, 'HO2503-C-2850.CFE': -0.006815599103369015, 'HO2504-C-2850.CFE': -0.001190507661764295, 'IO2503-C-4150.CFE': -0.005982434745100881, 'IO2503-C-4200.CFE': -0.007886799344922181, 'MO2503-C-6400.CFE': -0.001985307254412448, 'MO2503-C-6500.CFE': -0.008811312450173487, 'MO2503-C-6600.CFE': -0.0166725165878817, 'MO2503-C-6700.CFE': -0.015502735253243291, 'MO2503-P-5800.CFE': -0.011638299601080348, 'MO2503-P-5900.CFE': -0.010271801879974358}",-0.07862551371176585
2025-02-18,2025-02-19,-0.015798678212876314,0.9068179872658122,-1.713589096598424,"{'HO2503-C-2750.CFE': -0.0017743677096214228, 'HO2503-C-2800.CFE': -0.01970021911422009, 'HO2504-C-2800.CFE': -0.0001399580534668109, 'IO2503-C-4100.CFE': -0.003839520192579809, 'IO2503-C-4150.CFE': -0.007218844206194951, 'MO2503-C-6300.CFE': -0.0026418393912232903, 'MO2503-C-6400.CFE': -0.012952026181335312, 'MO2503-C-6500.CFE': -0.021364057522343546, 'MO2503-C-6600.CFE': -0.00633500612899872, 'MO2503-P-5700.CFE': -0.01292704606162801, 'MO2503-P-5800.CFE': -0.009563688546312482}",-0.0931820127341878
2025-02-19,2025-02-20,0.009406995789867046,0.9153484202541974,-1.762032403145641,"{'HO2503-C-2750.CFE': -0.0035871631166715496, 'HO2503-C-2800.CFE': -0.014723486244675421, 'HO2504-C-2800.CFE': -0.0007488743847086079, 'HO2504-C-2850.CFE': -0.005173097288963703, 'IO2503-C-4100.CFE': -0.0024851127465718996, 'IO2503-C-4150.CFE': -0.002125517211656563, 'MO2503-C-6400.CFE': -0.006666566876740494, 'MO2503-C-6500.CFE': -0.012053303656333576, 'MO2503-C-6600.CFE': -0.016693996772967262, 'MO2503-C-6700.CFE': -0.01448397553059132, 'MO2503-P-5800.CFE': -0.007267838909156064, 'MO2503-P-5900.CFE': -0.010465041039771084}",-0.08465157974580262
2025-02-20,2025-02-21,-0.052495228690795856,0.8672969956011947,-2.2230766283693306,"{'HO2503-C-2700.CFE': -0.0051225309385226825, 'HO2503-C-2750.CFE': -0.0058725163742084875, 'HO2503-C-2800.CFE': -0.019879848625513393, 'HO2504-C-2800.CFE': -0.019017488839062978, 'IO2503-C-4000.CFE': -0.001791233233368639, 'IO2504-C-4150.CFE': -0.015899077732507087, 'IO2503-P-4150.CFE': 0.009650896466341985, 'IO2503-P-4200.CFE': 0.010214995381073488, 'IO2503-P-4250.CFE': 0.013929065521732599, 'MO2503-C-6400.CFE': -0.0007530692219110411, 'MO2503-C-6500.CFE': -0.005537988116495673, 'MO2503-C-6600.CFE': -0.00739299537997769, 'MO2503-C-6700.CFE': -0.009784682895316914}",-0.13270300439880534
