symbol,moneyness_bucket,tenor_bucket,c_j,phi_j,se_phi,t_stat_phi,p_value_phi,r2,n_obs,underlying,index
MO2406-P-4300.CFE,DPW,LT,-0.16287798863187491,0.8601324204488499,0.13021891451100873,6.605280221224192,6.049447998756873e-06,0.7316774558866549,18.0,CSI 1000,000852.SH
MO2406-P-4300.CFE,DPW,MT,-0.4415733748341651,0.27752971642667074,0.1982503752686525,1.39989503702369,0.17383260123981548,0.07269018832576257,27.0,CSI 1000,000852.SH
MO2406-P-4300.CFE,DPW,ST,-2.0476879591864647,-0.1046998384078723,0.2974341228795778,-0.3520101775621156,0.7291563940124713,0.007236148559319755,19.0,CSI 1000,000852.SH
MO2406-P-4400.CFE,DPW,LT,-0.2481659999763081,0.6940715660682317,0.17228292086334085,4.028673083728287,0.0009716696830327922,0.5035712897666804,18.0,CSI 1000,000852.SH
MO2406-P-4400.CFE,DPW,MT,-0.38912812920166423,0.4592111653056003,0.17839899668627973,2.574068093629123,0.016363334728727506,0.2095068263284804,27.0,CSI 1000,000852.SH
MO2406-P-4400.CFE,DPW,ST,-1.9599317572773818,0.003426021197003054,0.22935466463862508,0.014937656499819388,0.9882462430591427,1.2396156428007288e-05,20.0,CSI 1000,000852.SH
MO2406-P-4500.CFE,DPW,LT,-0.1871511662071438,0.6884673229250645,0.20416585495258344,3.372098253574075,0.006229053969923514,0.5082930101095628,13.0,CSI 1000,000852.SH
MO2406-P-4500.CFE,DPW,MT,-0.16520637668139548,0.8523528600184695,0.1867379269853626,4.564433555510558,0.0003723610185141396,0.5814037637819928,17.0,CSI 1000,000852.SH
MO2406-P-4500.CFE,DPW,ST,-2.5961150985694355,-0.1273147525833522,0.26060617165081357,-0.48853314477118887,0.6318004145712014,0.014697306639800845,18.0,CSI 1000,000852.SH
MO2406-P-4500.CFE,PW,LT,-0.03655921852666579,0.4219300762431061,0.7939044034758028,0.531462068223641,0.6079640574991808,0.030428590645203646,11.0,CSI 1000,000852.SH
MO2406-P-4500.CFE,PW,MT,-0.3082259484290115,0.24441456632134703,0.25957743244148557,0.9415863467886154,0.37098956012015166,0.0896755413571294,11.0,CSI 1000,000852.SH
MO2406-P-4550.CFE,DPW,ST,-2.0050195407849385,0.025656377365566252,0.29514153830260703,0.08692906296117799,0.9320526067798246,0.0005809439992208176,15.0,CSI 1000,000852.SH
MO2406-P-4600.CFE,DPW,MT,-0.6450539973267531,0.37281334681299694,0.2732769564288288,1.364232651317935,0.2024079241955419,0.1569100594007986,12.0,CSI 1000,000852.SH
MO2406-P-4600.CFE,DPW,ST,-1.893358282268622,-0.029527790506791773,0.3333077158083663,-0.08859017990381188,0.9313476012264141,0.0008712646776158905,11.0,CSI 1000,000852.SH
MO2406-P-4600.CFE,PW,LT,-0.008452700926375227,0.8177954715520831,0.17685259037613188,4.624164507925993,0.0003307583058442374,0.5877183766705811,17.0,CSI 1000,000852.SH
MO2406-P-4600.CFE,PW,MT,-0.14298428598684065,0.03121982378830105,0.25145834225005,0.12415505291630405,0.902738901253328,0.0009624775672606445,18.0,CSI 1000,000852.SH
MO2406-P-4600.CFE,PW,ST,-2.1315270708942,-0.24858805846641507,0.31541681108131897,-0.7881255840936313,0.4489021665763083,0.058481652917175775,12.0,CSI 1000,000852.SH
MO2406-P-4650.CFE,DPW,ST,-1.700172472369961,-0.05891821572511324,0.5075785701635592,-0.1160770355338835,0.9104524194821854,0.0016814028950697946,10.0,CSI 1000,000852.SH
MO2406-P-4650.CFE,PW,ST,-1.6741725824880416,-0.02671138672163841,0.26597349715211765,-0.10042875326920796,0.9218110001052721,0.0009160631936232511,13.0,CSI 1000,000852.SH
MO2406-P-4700.CFE,PW,LT,0.023833575005490527,0.42256244407651056,0.2360856931830472,1.7898689174226243,0.09241659871295889,0.16682422114184636,18.0,CSI 1000,000852.SH
MO2406-P-4700.CFE,PW,MT,-0.2131956971855229,-0.1568062828092726,0.266137558987945,-0.5891926092865958,0.5620175247966476,0.016262028630834813,23.0,CSI 1000,000852.SH
MO2406-P-4700.CFE,PW,ST,-1.3015788689695427,0.04967034793459363,0.20701806437667805,0.23993243335623285,0.8138600656268892,0.0040951304184762005,16.0,CSI 1000,000852.SH
MO2406-P-4750.CFE,PW,MT,-0.05792604389171747,1.0552690706655339,0.1753605139636642,6.017712008326985,8.648071376585892e-06,0.6558772584529733,21.0,CSI 1000,000852.SH
MO2406-P-4750.CFE,PW,ST,-0.8268257994849434,0.12247890595730401,0.22886466793184318,0.5351586466539201,0.5987485401793602,0.014849575589351849,21.0,CSI 1000,000852.SH
MO2406-P-4800.CFE,PW,LT,0.1842137178886008,0.4379981375358268,0.21719431978090692,2.016618749411375,0.05981533837465648,0.19304121198555502,19.0,CSI 1000,000852.SH
MO2406-P-4800.CFE,PW,MT,0.052906129822401796,0.3424751438345248,0.18656115711559065,1.8357258773986487,0.07786132685746737,0.11473960422291929,28.0,CSI 1000,000852.SH
MO2406-P-4800.CFE,PW,ST,-0.24609019539013335,0.3534218619566655,0.21676344614272688,1.6304495441724824,0.11791483956720412,0.11236472324392444,23.0,CSI 1000,000852.SH
MO2406-P-4850.CFE,PW,MT,-0.06858020059543214,0.987636473338737,0.22223444753833194,4.444119641570802,0.0002783549449371142,0.5096799423026477,21.0,CSI 1000,000852.SH
MO2406-P-4850.CFE,PW,ST,-0.28212595106551636,0.36289756062906403,0.1955391841049704,1.8558815323390703,0.07826734431638059,0.1469140392859053,22.0,CSI 1000,000852.SH
MO2406-P-4900.CFE,PW,LT,0.30398414074946417,0.3338860772377682,0.26096920001520746,1.279407980782068,0.22155142811082407,0.10468100290970717,16.0,CSI 1000,000852.SH
MO2406-P-4900.CFE,PW,MT,0.11723404057233941,0.38473982308901367,0.3249972696609077,1.1838247856372441,0.24911622540877704,0.05988695806030209,24.0,CSI 1000,000852.SH
MO2406-P-4900.CFE,PW,ST,0.003856248977235009,0.05793569750857515,0.17129692614022443,0.33821796347442173,0.7389075663326454,0.005984568824500713,21.0,CSI 1000,000852.SH
MO2406-P-4950.CFE,PW,MT,0.06845436164654126,0.4940526556183711,0.25859097068225845,1.9105564835263884,0.0741507817429981,0.18576000410827942,18.0,CSI 1000,000852.SH
MO2406-P-4950.CFE,PW,ST,0.22010574168494976,0.17423219444394178,0.22439481026455885,0.7764537612903082,0.44955214624944595,0.03863904780966532,17.0,CSI 1000,000852.SH
