target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv,margin,margin_pass,margin_near_zero_abs_1e-10
2023-01-03 14:30:00,000852.SH,20230317,-0.0084105350812473,1.0,-0.0437630836065504,0.0004357810390682,0.0390313370999128,-0.000261283413279,success,,25,25,-0.2049066120286806,0.2505689166541452,11588806.825368188,0.0001836782432389,False,-0.0003387081381190267,True,False
2023-01-04 10:00:00,000016.SH,20230120,-8.882272431001688e-05,1.0,0.0043322884342711,-7.96426534520843e-06,-0.0030449302218469,2.668791321906935e-06,success,,18,18,-0.130635805024807,0.1242564446039832,804383124.2522295,0.0002679196344124,False,2.130033308688997e-09,False,False
2023-01-04 10:40:00,000016.SH,20230120,-3.783329307653562e-05,1.0,2.5465099582737345e-05,-9.44566252254922e-07,-0.0034619095888923,3.1092544545586917e-06,success,,18,18,-0.1327690370358121,0.122123212592978,904237680.5214022,0.0004466946753817,False,2.8670654248738605e-10,False,False
2023-01-04 11:20:00,000016.SH,20230120,-7.890374084767696e-05,1.0,0.0017852705312048,-4.017752159071797e-06,-0.0031452627528399,2.7419505964027927e-06,success,,16,16,-0.1325432362862109,0.1223490133425792,727018614.4087622,0.0003152636104796,False,1.3944407145995606e-09,False,False
2023-01-04 13:10:00,000016.SH,20230120,-6.296553747696662e-05,1.0,0.0010160208189801,-1.9664279797923573e-06,-0.003409139775734,3.0958063354622486e-06,success,,18,18,-0.1307479983577723,0.1241442512710176,458837051.1018922,0.0006667788399627,False,7.70682146736804e-10,False,False
2023-01-04 13:50:00,000016.SH,20230120,-0.0001368792800925,1.0,0.0068767533970725,-1.1574887243927956e-05,-0.0026915918113251,2.31325834234015e-06,success,,18,18,-0.1305356104970936,0.1243566391316964,584351457.0604198,0.000296189269237,False,4.86449341083154e-09,False,False
2023-01-04 14:30:00,000016.SH,20230120,-8.947409262374749e-05,1.0,0.0031969341595857,-6.056528747573504e-06,-0.0028362053860623,2.356634673057034e-06,success,,18,18,-0.132023175837426,0.1228690737913641,596835958.3429382,0.0005379623773693,False,2.07276275935517e-09,False,False
2023-01-04 10:00:00,000016.SH,20230217,-0.0001951025118932,1.0,0.0057000013255072,-1.964158728163949e-05,-0.0060767137529561,8.528311307182805e-06,success,,18,18,-0.133254408056148,0.121637841572642,1628072033.7985382,5.931116630230906e-05,False,-9.061079977376997e-09,True,False
2023-01-04 10:40:00,000016.SH,20230217,-0.000159116924795,1.0,0.0045030132834036,-1.1285181878099866e-05,-0.0065462194120057,1.0494026030338165e-05,success,,18,18,-0.1356579159834437,0.1192343336453461,1312786357.618883,9.67411182953164e-05,False,-2.112711465248335e-09,True,False
2023-01-04 11:20:00,000016.SH,20230217,-0.0002792065851266,1.0,0.0109082052888713,-3.309457344746357e-05,-0.0053692676517503,6.056050181858935e-06,success,,18,18,-0.1349038704466109,0.1199883791821793,958735990.0136936,0.0001055327033282,False,-2.2530636799224417e-08,True,False
