group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20250620,1296,1295,0.9992283950617284,1295,971,324,0,0.7498069498069498,0.2501930501930502,-0.016192413935874336,-0.004223986508621357,-0.0011913023139710447,-2.272040992550596e-05,-0.0002789476387152599,1.7245635140840222e-06,1.0789518259190278e-05,0,0.0,0.0007442626223008967,0.0004806851595249,5490976.253864926,38062779.172870696,0,0
20250718,824,823,0.9987864077669902,823,786,37,0,0.9550425273390036,0.04495747266099635,-0.0002607806266659581,-7.943229496706608e-05,-3.1013443538374434e-05,-2.312278093344209e-06,-7.879964692763876e-06,-6.649781253393559e-09,8.191925294692026e-08,0,0.0,7.235299012560469e-05,5.33313394976604e-05,262096499.44514075,804540605.3735367,0,0
20250815,838,838,1.0,838,774,64,0,0.9236276849642004,0.07637231503579953,-0.00034948494581433755,-0.00010480754572554998,-3.797068824382234e-05,-2.1825208235946575e-06,-8.24176170784254e-06,1.0584359324780799e-08,5.688706340087302e-08,1,0.0011933174224343676,8.885876607465309e-05,6.07864322882758e-05,257305114.25477296,825146858.9867426,0,0
20250919,1209,1209,1.0,1209,887,322,0,0.7336641852770885,0.2663358147229115,-0.10429714888787696,-0.008031219099744925,-0.0019999326665707346,-1.0992404548790938e-05,-0.000561840644430199,2.4678578866793234e-06,2.7039332943371823e-05,0,0.0,0.0007957207589385623,0.0005120776399933,4469962.11010753,37262832.00299797,0,0
20251017,897,897,1.0,897,835,62,0,0.9308807134894092,0.06911928651059086,-0.0004002644423683106,-0.0001481912571201331,-7.363444063827802e-05,-4.062505939814982e-06,-1.5854741846619915e-05,2.594671181785621e-09,1.5287522095751754e-07,2,0.002229654403567447,9.056535209861173e-05,5.529123248731383e-05,174977653.09255847,701194085.9489739,0,0
20251121,992,991,0.998991935483871,991,824,167,0,0.8314833501513622,0.16851664984863773,-0.00013220540597583128,-3.919474966177786e-05,-2.2947927334712277e-05,-7.165059706009293e-07,-4.457575483525471e-06,5.580458069801576e-09,1.2004736938080564e-07,8,0.008072653884964682,0.00012315155613162155,6.795510770799839e-05,315596563.12116367,1402641232.6309738,0,0
20251219,1381,1381,1.0,1381,1058,323,0,0.7661115133960897,0.2338884866039102,-0.007432261001593753,-0.0012544946030615823,-0.0004425556889075508,-3.72196943626494e-06,-8.147177163880059e-05,4.1136956088355246e-07,4.35417491055151e-06,7,0.005068790731354091,0.0005336405165304704,0.0002990469153098,19452724.97186657,283709745.3053082,0,0
20260116,953,951,0.9979013641133263,951,915,36,0,0.9621451104100947,0.03785488958990536,-9.562264679852336e-05,-2.737356626016069e-05,-8.164608890867009e-06,-4.1757278535431525e-07,-2.091464489891468e-06,-6.315271307182816e-10,4.043125593948413e-08,7,0.007360672975814932,7.326676261966143e-05,6.000177820664497e-05,550849626.611726,3899808713.4745336,0,0
20260224,891,890,0.9988776655443322,890,806,84,0,0.9056179775280899,0.09438202247191012,-0.00022298978934441572,-0.00011362825333752417,-2.6306481238398163e-05,-4.518157331451937e-07,-5.4377756124548955e-06,6.7816154668144e-09,2.0258089293118944e-07,2,0.0022471910112359553,0.0001050302342907304,5.481006785845584e-05,512153837.0323458,3231771227.175147,0,0
20260320,1294,1294,1.0,1294,676,618,0,0.5224111282843895,0.4775888717156105,-0.003919175028842934,-0.0012274747569385365,-0.00019314776574352242,-6.502372226504209e-08,-5.1549769931945955e-05,2.2785355226616583e-06,1.2164166848662139e-05,3,0.00231839258114374,0.0011802909545061888,0.0008028986728645499,9574794.020316329,106966788.20156808,0,0
20260417,841,837,0.995243757431629,837,804,33,0,0.9605734767025089,0.03942652329749104,-0.00016651006479060949,-4.9431176356269765e-05,-1.8516293277886765e-05,-2.189202584214804e-06,-5.2876623984637975e-06,-9.522569973575395e-09,1.0563863159328702e-07,0,0.0,6.84526379677698e-05,4.746997138792952e-05,252690428.00990516,1688464707.2325401,0,0
20260515,756,756,1.0,756,678,78,0,0.8968253968253969,0.10317460317460317,-0.0004190353459163047,-0.0001981049009770064,-9.215001803290464e-05,-3.907644367953928e-06,-1.7594708378540767e-05,8.769988912049227e-09,9.209677448656236e-08,1,0.0013227513227513227,0.00010133427893158206,5.257941194109642e-05,147582372.309276,1071344002.2939074,0,0
20260622,1244,1243,0.9991961414790996,1243,783,460,0,0.6299275945293644,0.3700724054706356,-0.007211957472793124,-0.0019691258442670846,-0.00032328421387045923,-1.1442293292864496e-06,-9.58557781394797e-05,2.183737871956506e-06,3.288253459401019e-05,0,0.0,0.0010380947235721577,0.0003832850244724,9127327.047813516,187003952.67493358,0,0
20260717,793,793,1.0,793,741,52,0,0.9344262295081968,0.06557377049180328,-7.553618603902028e-05,-3.4479695447749125e-05,-1.818241946650054e-05,-7.453590178806318e-07,-4.138797459963397e-06,3.2188121154076616e-10,5.153680478144016e-07,6,0.007566204287515763,9.201482202822079e-05,5.034221565049863e-05,395031288.1158826,1557128569.4708736,0,0
20260821,506,503,0.9940711462450593,503,498,5,0,0.9900596421471173,0.009940357852882704,-6.275366695176167e-05,-3.504517388799159e-05,-1.5042420600233814e-05,-1.7564079816794785e-06,-3.921891372187814e-06,-4.036558927234851e-08,1.3339437932383734e-09,1,0.0019880715705765406,5.7946939245040044e-05,4.228849545816852e-05,420943061.3040597,1480890451.846245,0,0
20260918,465,464,0.9978494623655914,464,395,69,0,0.8512931034482759,0.14870689655172414,-0.0002569206285619583,-0.00013299663144721244,-5.602061660014966e-05,-1.6334972923296284e-06,-1.1134688121506803e-05,2.078603851173267e-08,1.284315813799362e-07,1,0.0021551724137931034,0.0002810890942000123,0.00013789260734575,50752714.011255875,422754488.31545806,0,0
