target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv
2023-01-04 10:00:00,000016.SH,20230217,-0.0001822114151598203,1.0,0.006003258350543071,-2.1057365933702328e-05,-0.006136970186527564,8.715119323241047e-06,success,,18,18,-0.133254408056148,0.121637841572642,2316886692.8437915,5.596117098367051e-05,False
2023-01-04 10:40:00,000016.SH,20230217,-0.0001549236209085825,1.0,0.004653784259207224,-1.1526227240750056e-05,-0.006451806002184933,1.005608148154714e-05,success,,18,18,-0.13565791598344376,0.11923433364534616,1897443488.213836,7.983638064722079e-05,False
2023-01-04 11:20:00,000016.SH,20230217,-0.00025617885151017105,1.0,0.010127008220151027,-2.9262535455015036e-05,-0.005421194063093419,6.100841660388872e-06,success,,18,18,-0.13490387044661095,0.1199883791821793,1422081732.9325242,9.389391939934788e-05,False
2023-01-04 13:10:00,000016.SH,20230217,-0.00020625639225412974,1.0,0.009372455090436271,-2.4557290083307356e-05,-0.005778674805691117,7.581561271927334e-06,success,,18,18,-0.1332720726587991,0.12162017696999093,1617568977.6093369,8.556158319728987e-05,False
2023-01-04 13:50:00,000016.SH,20230217,-0.00021737868675514625,1.0,0.012987225872949011,-4.193266023981462e-05,-0.005517428599475154,6.8330931948816685e-06,success,,18,18,-0.13241273324046784,0.12247951638832232,1428532846.091916,0.00013775929696996248,False
2023-01-04 14:30:00,000016.SH,20230217,-0.0003438007314471678,1.0,0.0036267792133671,6.653765591681936e-06,-0.0041976129548898485,1.948400172026847e-06,success,,18,18,-0.1338971497650268,0.12099509986376336,1401660628.4438672,5.909934673361672e-05,False
2023-01-04 10:00:00,000016.SH,20230317,-4.697738047420259e-05,1.0,-0.0027344719741603505,1.8520372412936436e-05,-0.013210466060273299,4.3592310239175426e-05,success,,18,18,-0.13456944807350177,0.12032280155528838,6772646424.472099,8.42373538394045e-05,False
2023-01-04 10:40:00,000016.SH,20230317,-0.00029506434851200256,1.0,0.004617598224225185,-2.45601285703986e-05,-0.010035684251508022,2.2181602732148107e-05,success,,17,17,-0.13725618267575365,0.11763606695303637,1903398546.6252828,4.148846619983212e-05,False
2023-01-04 11:20:00,000016.SH,20230317,-0.00032763344307324067,1.0,0.01782789288159296,-0.00012329248011443088,-0.010674109408675414,2.642313791226701e-05,success,,18,18,-0.13635897590173623,0.11853327372705386,1196304271.0074384,0.00010659970824325017,False
2023-01-04 13:10:00,000016.SH,20230317,-0.0002186179253502323,1.0,-0.0006900855988656002,8.345204709166595e-06,-0.011527980782976236,3.225577713436098e-05,success,,18,18,-0.13533202559211419,0.1195602240366759,1659469617.6341987,6.833237896642448e-05,False
2023-01-04 13:50:00,000016.SH,20230317,-0.00011117176480863896,1.0,-0.008875804986062736,6.114537705321645e-05,-0.012550871040303313,3.923616791724268e-05,success,,18,18,-0.13324107896527593,0.12165117066351416,2733423616.018058,8.547479977568028e-05,False
2023-01-04 14:30:00,000016.SH,20230317,-9.913621212984057e-05,1.0,-0.003601617212102133,2.2684368609879756e-05,-0.012714487928908348,4.039793324431389e-05,success,,18,18,-0.1347679851429509,0.12012426448583916,2274603387.477638,0.00013289594281243395,False
2023-01-04 10:00:00,000300.SH,20230120,-0.00038137282129821704,1.0,0.01780926154673064,-2.600646442832508e-05,0.0013959069282316512,-3.346697975654711e-06,success,,25,25,-0.21167766912970865,0.12252441895696545,1156242374.9516153,0.0003502179210755617,False
2023-01-04 10:40:00,000300.SH,20230120,-0.0004502548477513143,1.0,0.02520716293861015,-3.928168148746751e-05,0.002745469319036944,-5.016148505220934e-06,success,,26,26,-0.21406200470480286,0.12014008338187103,916202375.0183005,0.00048480205878467743,False
