group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20231117,918,918,1.0,918,885,33,0,0.9640522875816994,0.03594771241830065,-0.00012310715279185722,-2.3766477784745157e-05,-5.2164451182610404e-06,-1.2347099431596535e-07,-1.2765327862979124e-06,-5.460730322942893e-10,8.307574420923812e-09,6,0.006535947712418301,0.00010959538728325433,8.256932712901106e-05,1004615150.7426599,3909294535.2321587,0,0
20231215,1472,1472,1.0,1472,1463,9,0,0.9938858695652174,0.006114130434782609,-0.002055513153630083,-0.000488347075722094,-0.00014182681896043962,-9.731358405228002e-06,-3.707630169614173e-05,-1.8327114387305477e-07,1.3697301711610318e-07,2,0.001358695652173913,0.00021334868109269527,0.00018134135320634998,82146402.36190751,796342734.4565898,0,0
20240119,1005,1005,1.0,1005,981,24,0,0.9761194029850746,0.023880597014925373,-9.289315494652498e-05,-4.309556039957997e-05,-1.4205910803652007e-05,-4.1204957002637106e-07,-3.04363345141005e-06,-2.148561820005956e-09,5.933694746677932e-09,7,0.006965174129353234,0.00010056186931194178,7.922247056221661e-05,831276043.4260393,3388469894.731063,0,0
20240219,917,917,1.0,917,904,13,0,0.9858233369683751,0.014176663031624863,-5.757328853845526e-05,-2.721039128447367e-05,-1.415712498488582e-05,-6.729500336726175e-07,-3.0612508137589504e-06,-7.005725690073695e-09,6.332525887038345e-09,4,0.004362050163576881,8.237673415681828e-05,6.004393953670485e-05,707202123.4686967,4503731534.735394,0,0
20240315,1416,1416,1.0,1416,1390,26,0,0.981638418079096,0.018361581920903956,-0.012955344479831996,-0.0015643547347635926,-0.0006450146087844812,-2.151440875851326e-05,-0.00015351712054737277,-2.1003451684945451e-07,2.474919775418781e-07,0,0.0,0.00029542856006792875,0.00020917719100590001,29948766.117572404,186099201.06851718,0,0
20240419,882,882,1.0,882,823,59,0,0.9331065759637188,0.06689342403628118,-0.0004512471786175395,-0.0001638190503236845,-4.189241642433442e-05,-3.5291905522313074e-07,-8.738756095585842e-06,3.1632498883433723e-10,5.285206407770642e-07,16,0.018140589569160998,0.00035707466047515176,0.0001251099646136,716500350.57566,5679831097.3647175,0,0
20240517,917,917,1.0,917,872,45,0,0.95092693565976,0.04907306434023991,-1.8222921134393506e-05,-7.505115824754811e-06,-2.476819200392808e-06,-8.500036540863086e-08,-5.523134013477373e-07,-1.8700617526063232e-11,7.735468691616679e-08,21,0.022900763358778626,0.00011481366489570261,6.365780963878275e-05,1635645400.868052,10817551071.573923,0,0
20240621,1444,1444,1.0,1444,1387,57,0,0.9605263157894737,0.039473684210526314,-0.002666459073998963,-0.0010747070625142406,-0.00044702510599071727,-1.1359444074167979e-05,-8.593144710106718e-05,-9.572833825214072e-09,1.7493202827461217e-06,1,0.0006925207756232687,0.0004036478181253807,0.0002922279243575,28081155.471561104,422838923.55654407,0,0
20240719,943,943,1.0,943,906,37,0,0.9607635206786851,0.03923647932131495,-7.509474829903351e-06,-3.3920777098182576e-06,-1.5596733906047628e-06,-8.074053347900884e-08,-3.472312091697086e-07,-2.6264919493134696e-10,3.743597837175916e-09,9,0.009544008483563097,9.903224678644119e-05,7.010140639220873e-05,1904350348.8045588,8956683807.490763,0,0
20240816,995,995,1.0,995,963,32,0,0.9678391959798995,0.032160804020100506,-4.4308893776215856e-05,-1.8450883708765044e-05,-7.043892255778136e-06,-2.985806003983322e-07,-1.5168271864481255e-06,-6.411394433384617e-10,2.1540755442881544e-09,16,0.016080402010050253,0.00010962902985070988,6.38866984446155e-05,1249268965.3257563,11276874898.02315,0,0
