date,next_date,lambda_10000_delta_5_daily_return,lambda_10000_delta_5_cumulative_return,lambda_12000_delta_5_daily_return,lambda_12000_delta_5_cumulative_return,lambda_14000_delta_5_daily_return,lambda_14000_delta_5_cumulative_return,lambda_16000_delta_5_daily_return,lambda_16000_delta_5_cumulative_return,lambda_18000_delta_5_daily_return,lambda_18000_delta_5_cumulative_return,lambda_20000_delta_5_daily_return,lambda_20000_delta_5_cumulative_return,lambda_10000_delta_3_daily_return,lambda_10000_delta_3_cumulative_return,lambda_10000_delta_4_daily_return,lambda_10000_delta_4_cumulative_return,lambda_10000_delta_5_delta_sweep_daily_return,lambda_10000_delta_5_delta_sweep_cumulative_return,lambda_10000_delta_6_daily_return,lambda_10000_delta_6_cumulative_return,lambda_10000_delta_7_daily_return,lambda_10000_delta_7_cumulative_return,lambda_10000_delta_8_daily_return,lambda_10000_delta_8_cumulative_return,lambda_10000_delta_9_daily_return,lambda_10000_delta_9_cumulative_return
2025-01-16,2025-01-17,6.454225610084312e-05,-0.0249025319264788,6.91616426955941e-05,-0.0247637002900205,0.0001045279486339,-0.0250728898038044,0.0001230140134532,-0.0252277952864603,0.0001268018446237,-0.0250766804401609,0.00013045830419303704,-0.02523919702502808,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788,6.454225610084312e-05,-0.0249025319264788
2025-01-17,2025-01-20,0.0211309362456237,-0.004297809495348,0.020876403332811,-0.0044042739524767,0.0206944684719153,-0.0048972914594335,0.0205577895481989,-0.0051886334445254,0.0204292046145986,-0.0051597724613292,0.02030057880653499,-0.005450988526713441,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348,0.0211309362456237,-0.004297809495348
2025-01-20,2025-01-21,0.0087308271488929,0.0043954942217221,0.0086495032798712,0.0042071345453971,0.0085279714311384,0.0035889160100488,0.0083117805141043,0.0030800202872198,0.0081127429049699,0.0029111105362136,0.007954038888919884,0.002459692987481832,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221,0.0087308271488929,0.0043954942217221
2025-01-21,2025-01-22,0.0057395722525662,0.0101602947309595,0.0056442349889894,0.0098751155903908,0.0055409687121038,0.0091497707934748,0.005434333833313,0.0085310919789871,0.0053513065706001,0.0082779953517539,0.005274257887987866,0.007746923930610938,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595,0.0057395722525662,0.0101602947309595
2025-01-22,2025-01-23,0.0128575121335245,0.0231484429772677,0.0127004062353577,0.0227009398053676,0.0125828060767893,0.0218477066618056,0.0125226137302031,0.02116053727874,0.0124805735664881,0.0208618830482127,0.012446159394712936,0.020289502775382884,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677,0.0128575121335245,0.0231484429772677
2025-01-23,2025-01-24,0.0105040640318216,0.0338956597363595,0.0103755362104794,0.0333120104388096,0.01036078614714,0.032434852225474,0.0103493665910495,0.0317289020273507,0.010340336388724,0.0314179383253574,0.010334760336610033,0.03083395026052549,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595,0.0105040640318216,0.0338956597363595
2025-01-24,2025-01-27,0.0103221466281456,0.0445676823343614,0.0102902934112468,0.0439450942115902,0.0102677771875046,0.0430356632487394,0.0102440619617517,0.042297996827449,0.0102018993676544,0.0419403603381463,0.010153612923295675,0.04130063917966287,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614,0.0103221466281456,0.0445676823343614
2025-01-27,2025-02-05,0.0440945031436094,0.0906273752867667,0.0439555310906589,0.0898322552571486,0.043854428278386,0.0887773959344799,0.0435572595665002,0.0876976412209054,0.0430441858070836,0.086789834808441,0.04263243572703265,0.08569382175200779,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667,0.0440945031436094,0.0906273752867667
2025-02-05,2025-02-06,-0.0098560352846442,0.0798781133935415,-0.0097180908641144,0.0792411663739169,-0.0096168328966932,0.0783068056560811,-0.0095414011031639,0.0773194817470512,-0.0094718155935388,0.0764959619042029,-0.009275095007534033,0.07562390840616517,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415,-0.0098560352846442,0.0798781133935415
2025-02-06,2025-02-07,-0.0002648005767768,0.0795921610462662,-0.0003426924994861,0.0788713185210638,-0.0003023354546962,0.0779807952776909,-0.0002717498859496,0.077026720300755,-0.0003704365559086,0.0760971884476255,-0.0005371851265216694,0.07504609924083816,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662,-0.0002648005767768,0.0795921610462662
2025-02-07,2025-02-10,-0.0065832076260602,0.0724849816986314,-0.0065333673044525,0.0718226559229266,-0.0064981532919667,0.0709759108241803,-0.0064709519264035,0.0700573321702366,-0.0064483790222302,0.0691581059117589,-0.006428699395978938,0.06813495103199907,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314,-0.0065832076260602,0.0724849816986314
