target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv,margin,margin_pass,margin_near_zero_abs_1e-10
2023-01-04 13:50:00,000016.SH,20230120,-9.575760281915646e-05,1.0,0.0065079235395254,-1.0665224513445313e-05,-0.002786732098133,2.1063228792392747e-06,success,,18,18,-0.1305356104970936,0.1243566391316964,1756179216.6923914,0.0003654818614902,False,1.1628403546633192e-09,False,False
2023-01-04 14:30:00,000016.SH,20230120,-5.278977449743129e-05,1.0,0.0025662456479346,-4.539107968420714e-06,-0.0030614217486498,2.415968596044736e-06,success,,18,18,-0.132023175837426,0.1228690737913641,2733748622.4564705,0.000562716829577,False,2.5992412963173016e-10,False,False
2023-01-04 10:00:00,000016.SH,20230217,-0.0001822114151598,1.0,0.006003258350543,-2.1057365933702328e-05,-0.0061369701865275,8.715119323241047e-06,success,,18,18,-0.133254408056148,0.121637841572642,2316886692.8437915,5.596117098367051e-05,False,-8.461386928604458e-09,True,False
2023-01-04 10:40:00,000016.SH,20230217,-0.0001549236209085,1.0,0.0046537842592072,-1.1526227240750056e-05,-0.0064518060021849,1.005608148154714e-05,success,,18,18,-0.1356579159834437,0.1192343336453461,1897443488.213836,7.983638064722079e-05,False,-3.400872608588011e-09,True,False
2023-01-04 11:20:00,000016.SH,20230217,-0.0002561788515101,1.0,0.010127008220151,-2.926253545501504e-05,-0.0054211940630934,6.100841660388872e-06,success,,18,18,-0.1349038704466109,0.1199883791821793,1422081732.9325242,9.389391939934788e-05,False,-2.24296588173691e-08,True,False
2023-01-04 13:10:00,000016.SH,20230217,-0.0002062563922541,1.0,0.0093724550904362,-2.455729008330736e-05,-0.0057786748056911,7.581561271927334e-06,success,,18,18,-0.1332720726587991,0.1216201769699909,1617568977.6093369,8.556158319728987e-05,False,-1.1096636922148532e-08,True,False
2023-01-04 13:50:00,000016.SH,20230217,-0.0002173786867551,1.0,0.012987225872949,-4.193266023981462e-05,-0.0055174285994751,6.8330931948816685e-06,success,,18,18,-0.1324127332404678,0.1224795163883223,1428532846.091916,0.0001377592969699,False,-1.2317260876871012e-08,True,False
2023-01-04 14:30:00,000016.SH,20230217,-0.0003438007314471,1.0,0.0036267792133671,6.653765591681936e-06,-0.0041976129548898,1.948400172026847e-06,success,,18,18,-0.1338971497650268,0.1209950998637633,1401660628.4438672,5.909934673361672e-05,False,-5.1313776058662915e-08,True,False
2023-01-04 10:00:00,000016.SH,20230317,-4.697738047420259e-05,1.0,-0.0027344719741603,1.852037241293644e-05,-0.0132104660602732,4.359231023917543e-05,success,,18,18,-0.1345694480735017,0.1203228015552883,6772646424.472099,8.42373538394045e-05,False,-1.1165808945410691e-10,True,False
2023-01-04 10:40:00,000016.SH,20230317,-0.000295064348512,1.0,0.0046175982242251,-2.45601285703986e-05,-0.010035684251508,2.2181602732148107e-05,success,,17,17,-0.1372561826757536,0.1176360669530363,1903398546.6252828,4.148846619983212e-05,False,-5.7589874170154944e-08,True,False
